Augment Name,Place
Cruel Pact,3.04
Jeweled Lotus III,3.21
Total Domination,3.26
Young and Wild and Free,3.43
Component Buffet,3.44
Not Today,3.47
The Golden Egg,3.55
Social Distancing III,3.56
Harmacist III,3.59
Last Stand,3.59
AFK,3.62
Stationary Support II,3.65
Social Distancing II,3.67
Long Distance Pals II,3.73
Teaming Up II,3.73
Cybernetic Leech II,3.73
You Have My Bow,3.77
Shoplifting,3.77
Noxus Crest,3.78
Slayer's Resolve,3.79
Roll The Dice,3.80
Support Cache,3.81
Portable Forge+,3.82
Red Buff,3.83
Phreaky Friday +,3.85
