Augment Name,Place
Riftwalk,2.90
Ravenous Hunter,3.05
Petricite Shackles,3.14
Piltover Soul,3.17
Bruiser Crown,3.21
Gunner Crown,3.21
The Golden Egg,3.21
Noxus Crest,3.22
Demacia Crest,3.24
Vanquisher Heart,3.31
Demacia Crown,3.32
Dueling Gunners,3.32
Bruiser Heart,3.34
Stolen Vitality,3.37
Early Education,3.37
Demonflare,3.39
Slayer Crest,3.39
Zaun Heart,3.41
Gunner Crest,3.41
Perfected Repetition,3.42
Slayer Heart,3.43
Rising Infamy,3.44
Gunner Heart,3.47
Titanic Strength,3.48
Bruiser Crest,3.48
